i,di_fundo,di_leit,di_flut,di,t_tot,t,dt,f,df,f2,df2
"-1,03","0,02485","0,007173577095","0,05","0,0562937182","31,11","1,5555","0,01","0,6428801029","0,004132948267","0,4132948267","0,005313980413"
-5,"0,005","0,001443375673","0,05","0,05027010377","36,18","1,809","0,01","0,5527915976","0,003055785503","0,3055785503","0,003378425101"
"-10,08","-0,0204","-0,005888972746","0,05","0,05432163473","50,56","2,528","0,01","0,3955696203","0,001564753245","0,1564753245","0,001237937694"
"1,08","0,0354","0,01021909976","0,05","0,06210950008","30,9","1,545","0,01","0,6472491909","0,004189315152","0,4189315152","0,005423061685"
"5,02","0,0551","0,01590599992","0,05","0,07608554944","27,51","1,3755","0,01","0,7270083606","0,005285411564","0,5285411564","0,007685076792"
"7,77","0,06885","0,01987528302","0,05","0,08738048624","26,33","1,3165","0,01","0,7595898215","0,005769766969","0,5769766969","0,008765312524"
"10,09","0,08045","0,02322391458","0,05","0,09752718958","25,9","1,295","0,01","0,7722007722","0,005962940326","0,5962940326","0,009209174248"
20,"0,13","0,0375277675","0,05","0,1442509388",21,"1,05","0,01","0,9523809524","0,009070294785","0,9070294785","0,01727675197"
"30,08","0,1804","0,05207699428","0,05","0,1943094782","19,2","0,96","0,01","1,041666667","0,01085069444","1,085069444","0,02260561343"
"39,98","0,2299","0,06636641344","0,05","0,2444555396",17,"0,85","0,01","1,176470588","0,01384083045","1,384083045","0,03256665988"
"50,05","0,28025","0,08090120647","0,05","0,2959477449","14,7","0,735","0,01","1,360544218","0,01851080568","1,851080568","0,05036953927"
"100,9","1,1072","0,319621109","0,5","1,2562044","11,67","0,5835","0,01","1,713796058","0,02937096929","2,937096929","0,1006717028"
"150,3","1,5024","0,4337055222","0,5","1,641738786","8,73","0,4365","0,01","2,290950745","0,05248455314","5,248455314","0,2404790522"
"200,1","1,9008","0,5487136958","0,5","2,040619357","7,81","0,3905","0,01","2,560819462","0,06557796318","6,557796318","0,3358666488"
"220,3","2,0624","0,5953635976","0,5","2,204076127","8,68","0,434","0,01","2,304147465","0,05309095542","5,309095542","0,2446587808"
"230,4","2,1432","0,6186885485","0,5","2,286062501","8,2","0,41","0,01","2,43902439","0,05948839976","5,948839976","0,2901873159"
"240,2","2,2216","0,641320679","0,5","2,365755434","8,1","0,405","0,01","2,469135802","0,06096631611","6,096631611","0,3010682277"
"250,3","2,3024","0,6646456299","0,5","2,448019521","6,88","0,344","0,01","2,906976744","0,08450513791","8,450513791","0,4913089414"